Afghanistan ,700.0,"46,6"
Albania ,4500.0,"15,11"
Algeria ,6000.0,"17,14"
American Samoa ,8000.0,"22,46"
Andorra ,19000.0,"8,71"
Angola ,1900.0,"45,11"
Anguilla ,8600.0,"14,17"
Antigua & Barbuda ,11000.0,"16,93"
Argentina ,11200.0,"16,73"
Armenia ,3500.0,"12,07"
Aruba ,28000.0,"11,03"
Australia ,29000.0,"12,14"
Austria ,30000.0,"8,74"
Azerbaijan ,3400.0,"20,74"
"Bahamas, The ",16700.0,"17,57"
Bahrain ,16900.0,"17,8"
Bangladesh ,1900.0,"29,8"
Barbados ,15700.0,"12,71"
Belarus ,6100.0,"11,16"
Belgium ,29100.0,"10,38"
Belize ,4900.0,"28,84"
Benin ,1100.0,"38,85"
Bermuda ,36000.0,"11,4"
Bhutan ,1300.0,"33,65"
Bolivia ,2400.0,"23,3"
Bosnia & Herzegovina ,6100.0,"8,77"
Botswana ,9000.0,"23,08"
Brazil ,7600.0,"16,56"
British Virgin Is. ,16000.0,"14,89"
Brunei ,18600.0,"18,79"
Bulgaria ,7600.0,"9,65"
Burkina Faso ,1100.0,"45,62"
Burma ,1800.0,"17,91"
Burundi ,600.0,"42,22"
Cambodia ,1900.0,"26,9"
Cameroon ,1800.0,"33,89"
Canada ,29800.0,"10,78"
Cape Verde ,1400.0,"24,87"
Cayman Islands ,35000.0,"12,74"
Central African Rep. ,1100.0,"33,91"
Chad ,1200.0,"45,73"
Chile ,9900.0,"15,23"
China ,5000.0,"13,25"
Colombia ,6300.0,"20,48"
Comoros ,700.0,"36,93"
"Congo, Dem. Rep. ",700.0,"43,69"
"Congo, Repub. of the ",700.0,"42,57"
Cook Islands ,5000.0,21
Costa Rica ,9100.0,"18,32"
Cote d'Ivoire ,1400.0,"35,11"
Croatia ,10600.0,"9,61"
Cuba ,2900.0,"11,89"
Cyprus ,19200.0,"12,56"
Czech Republic ,15700.0,"9,02"
Denmark ,31100.0,"11,13"
Djibouti ,1300.0,"39,53"
Dominica ,5400.0,"15,27"
Dominican Republic ,6000.0,"23,22"
East Timor ,500.0,"26,99"
Ecuador ,3300.0,"22,29"
Egypt ,4000.0,"22,94"
El Salvador ,4800.0,"26,61"
Equatorial Guinea ,2700.0,"35,59"
Eritrea ,700.0,"34,33"
Estonia ,12300.0,"10,04"
Ethiopia ,700.0,"37,98"
Faroe Islands ,22000.0,"14,05"
Fiji ,5800.0,"22,55"
Finland ,27400.0,"10,45"
France ,27600.0,"11,99"
French Guiana ,8300.0,"20,46"
French Polynesia ,17500.0,"16,68"
Gabon ,5500.0,"36,16"
"Gambia, The ",1700.0,"39,37"
Gaza Strip ,600.0,"39,45"
Georgia ,2500.0,"10,41"
Germany ,27600.0,"8,25"
Ghana ,2200.0,"30,52"
Gibraltar ,17500.0,"10,74"
Greece ,20000.0,"9,68"
Greenland ,20000.0,"15,93"
Grenada ,5000.0,"22,08"
Guadeloupe ,8000.0,"15,05"
Guam ,21000.0,"18,79"
Guatemala ,4100.0,"29,88"
Guernsey ,20000.0,"8,81"
Guinea ,2100.0,"41,76"
Guinea-Bissau ,800.0,"37,22"
Guyana ,4000.0,"18,28"
Haiti ,1600.0,"36,44"
Honduras ,2600.0,"28,24"
Hong Kong ,28800.0,"7,29"
Hungary ,13900.0,"9,72"
Iceland ,30900.0,"13,64"
India ,2900.0,"22,01"
Indonesia ,3200.0,"20,34"
Iran ,7000.0,17
Iraq ,1500.0,"31,98"
Ireland ,29600.0,"14,45"
Isle of Man ,21000.0,"11,05"
Israel ,19800.0,"17,97"
Italy ,26700.0,"8,72"
Jamaica ,3900.0,"20,82"
